AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
889060,Open Space 2D,06-Jul-18,0,0.99,0,TRUE,FALSE,FALSE,1,Jordan Rott,Jordan Rott,"Single-player,Steam Achievements","Casual,Indie,RPG",0,1
654940,RXE,21-Jul-17,0,5.99,0,TRUE,TRUE,TRUE,2,Buce Studios LLC,Buce Studios LLC,"Single-player,Multi-player,Steam Achievements,Steam Cloud","Indie,Simulation,Early Access",1,3
1461770,Fantasy Tavern Sextet -Vol.2 Adventurer's Days-,18-Feb-21,0,12.99,0,TRUE,FALSE,FALSE,11,"iMel,qureate",qureate,"Single-player,Steam Achievements","Adventure,Indie",141,20
1246880,??,17-Dec-21,0,4.99,0,TRUE,TRUE,FALSE,10,?????,BD Games,"Single-player,Steam Achievements","Indie,Simulation",88,6
1091910,PonGlow,10-Jun-19,0,0.99,0,TRUE,FALSE,FALSE,0,"Kev Jackson,kash",????,"Single-player,Steam Leaderboards","Casual,Indie",11,1
1572420,Leenie Boog,02-Dec-21,0,4.99,1,TRUE,FALSE,FALSE,0,Alexander Bazhenov,AB Developer,Single-player,"Action,Adventure,Indie,Simulation",82,16
855640,My Brother Rabbit,21-Sep-18,0,14.99,2,TRUE,TRUE,TRUE,30,Artifex Mundi,Artifex Mundi,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Adventure,Casual,Indie",1282,44
218410,Defender's Quest: Valley of the Forgotten (DX edition),30-Oct-12,0,14.99,0,TRUE,TRUE,TRUE,30,"Level Up Labs, LLC",Level Up Labs,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,RPG,Strategy",3112,137
938740,MUSEUM VOLUME I,05-Nov-18,0,0.99,2,TRUE,FALSE,FALSE,11,Wreck Tangle Games,Wreck Tangle Games,"Single-player,Steam Achievements","Adventure,Indie",6,5
387270,Mystical,31-Jul-15,0,0,0,TRUE,FALSE,FALSE,80,Philippe Forgeur,Philippe Forgeur,"Single-player,Steam Achievements,Partial Controller Support","Casual,Indie,Strategy",11,7
386260,Microcosmum: survival of cells,24-Jul-15,0,7.99,8,TRUE,FALSE,FALSE,12,Satur Entertainment,Satur Entertainment,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Casual,Indie,RPG,Simulation,Strategy",1074,198
1853680,Forbidden Fruit,21-Jan-22,0,0,0,TRUE,TRUE,TRUE,0,Magic Fingers,Magic Fingers,Single-player,"Adventure,Casual,Free to Play,Indie",0,0
2067670,????Fragment,25-Jul-22,0,0.99,0,TRUE,TRUE,TRUE,0,bbo,bbo,Single-player,"Action,Adventure,Casual,Indie,RPG",0,0
1749720,Zombie Dinos from Planet Zeltoid,01-Oct-21,0,6.99,0,TRUE,FALSE,FALSE,0,Philips P.O.V. Entertainment Group,Ziggurat,Single-player,"Adventure,Casual",5,0
2062610,Phantom Club,11-Jul-22,0,1.99,0,TRUE,FALSE,FALSE,0,Ocean Software,Pixel Games UK,"Single-player,Full controller support,Steam Cloud",Action,0,0
1292250,Blackjack Hands,13-May-20,0,0.99,0,TRUE,TRUE,FALSE,7,Minimol Games,Minimol Games,"Single-player,Steam Achievements","Casual,Strategy",16,4
545060,BULLET SOUL INFINITE BURST / ??????? - ??????????? -,31-Jul-17,0,14.99,1,TRUE,FALSE,FALSE,49,"MAGES. Inc.,Tachyon Inc.,",MAGES. Inc.,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Remote Play Together",Action,42,15
780570,AI Anomaly,31-Jan-18,0,1.99,0,TRUE,FALSE,FALSE,0,Julian Henley,Indie Retro Games,"Single-player,Partial Controller Support","Action,Adventure,Casual",4,0
1271740,Magical Swordmaiden,18-Dec-20,0,19.99,0,TRUE,FALSE,FALSE,0,Lunasoft,"Kagura Games,MangaGamer","Single-player,Steam Cloud","Action,Indie,RPG",86,26
1887930,Idle Monster TD: Evolved,11-Feb-22,0,0,0,TRUE,TRUE,FALSE,24,Swell Games LLC,Swell Games LLC,"Single-player,Steam Achievements,In-App Purchases","Casual,Free to Play,Indie,Strategy,Early Access",0,0
461490,Kaboom Monsters,07-Jul-16,0,0.53,0,TRUE,FALSE,FALSE,17,Broken Arms Games,Broken Arms Games,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Indie,Strategy,Early Access",65,53
1167300,Battle Axe,29-Apr-21,0,29.99,0,TRUE,TRUE,TRUE,28,Bitmap Bureau,Numskull Games,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together","Action,Adventure",24,26
